H0,H1,H2,date,alias
Trump vows to defeat 'radical left' in 4 July speech,"The president says his Covid-19 strategy is ""moving along well"", despite a nationwide surge in cases.",,2020-07-05,bbcnews
Pro-democracy books pulled from Hong Kong libraries,"Prominent activist Joshua Wong says the measure is ""one step away from actual book banning"".",,2020-07-05,bbcnews
Vogue Portugal defends mental illness cover,The magazine says it was trying to raise awareness after it was accused of using dystopian imagery.,,2020-07-05,bbcnews
Kanye West again says he will run for president,The US rapper claims that he has entered the 2020 race but it is unclear if he has actually registered.,,2020-07-05,bbcnews
Video 1 minute 2 seconds,"Divers on Mexico's Yucatan Peninsula find evidence of a mining operation started 12,000 years ago.",,2020-07-05,bbcnews
Underwater cave reveals Mayan secrets,,,2020-07-05,bbcnews
Violence after Ethiopian singer's death killed 166,"Protests over the killing of Hachalu Hundessa spread from Oromia, where he was seen as a hero.",,2020-07-05,bbcnews
Fourteen dead in flooded Japanese care home,At least 16 people have died and a dozen are missing on the island of Kyushu amid devastating rains.,,2020-07-05,bbcnews
"Drunk people will not keep apart, UK police warn ","As people in England enjoy their first night out in months, police voice fears about social distancing.",,2020-07-05,bbcnews
Dominicans vote in election postponed over virus,One of the top candidates for the presidency has recovered from Covid-19.,,2020-07-05,bbcnews
Video 1 minute 47 seconds,Beth Johnson and Phil Hobbs had to scale down their wedding day because of coronavirus restrictions.,,2020-07-05,bbcnews
The story of a socially distant wedding,,,2020-07-05,bbcnews
Tiger kills Zurich zookeeper in front of visitors,The 55-year-old woman was attacked in a Siberian tiger enclosure at a zoo in the Swiss city.,,2020-07-05,bbcnews
Hamilton penalised for collision as Bottas wins,Valtteri Bottas survives reliability worries to win an incident-packed Austrian Grand Prix as Lewis Hamilton takes fourth after a penalty.,,2020-07-05,bbcnews
Trump vows to defeat 'radical left' in 4 July speech,"The president says his Covid-19 strategy is ""moving along well"", despite a nationwide surge in cases.",,2020-07-05,bbcnews
Pro-democracy books pulled from Hong Kong libraries,"Prominent activist Joshua Wong says the measure is ""one step away from actual book banning"".",,2020-07-05,bbcnews
Vogue Portugal defends mental illness cover,The magazine says it was trying to raise awareness after it was accused of using dystopian imagery.,,2020-07-05,bbcnews
Kanye West again says he will run for president,The US rapper claims that he has entered the 2020 race but it is unclear if he has actually registered.,,2020-07-05,bbcnews
Video 1 minute 2 seconds,"Divers on Mexico's Yucatan Peninsula find evidence of a mining operation started 12,000 years ago.",,2020-07-05,bbcnews
Underwater cave reveals Mayan secrets,,,2020-07-05,bbcnews
Violence after Ethiopian singer's death killed 166,"Protests over the killing of Hachalu Hundessa spread from Oromia, where he was seen as a hero.",,2020-07-05,bbcnews
Fourteen dead in flooded Japanese care home,At least 16 people have died and a dozen are missing on the island of Kyushu amid devastating rains.,,2020-07-05,bbcnews
"Drunk people will not keep apart, UK police warn ","As people in England enjoy their first night out in months, police voice fears about social distancing.",,2020-07-05,bbcnews
Dominicans vote in election postponed over virus,One of the top candidates for the presidency has recovered from Covid-19.,,2020-07-05,bbcnews
Video 1 minute 47 seconds,Beth Johnson and Phil Hobbs had to scale down their wedding day because of coronavirus restrictions.,,2020-07-05,bbcnews
The story of a socially distant wedding,,,2020-07-05,bbcnews
Tiger kills Zurich zookeeper in front of visitors,The 55-year-old woman was attacked in a Siberian tiger enclosure at a zoo in the Swiss city.,,2020-07-05,bbcnews
Hamilton penalised for collision as Bottas wins,Valtteri Bottas survives reliability worries to win an incident-packed Austrian Grand Prix as Lewis Hamilton takes fourth after a penalty.,,2020-07-05,bbcnews
'How George Floyd's death changed my Chinese students',,,2020-07-05,bbcnews
The 16-year-old set to rule the tennis world,,,2020-07-05,bbcnews
Postcards from a Covid-America,,,2020-07-05,bbcnews
The man who decapitates French colonial statues,,,2020-07-05,bbcnews
The paper dress that went viral,,,2020-07-05,bbcnews
How Turkish TV went global,,,2020-07-05,bbcnews
The surprising history of 'stealing someones thunder',,,2020-07-05,bbcnews
Barcelona's Sagrada Familia basilica reopens,,,2020-07-05,bbcnews
'I would scrub my skin to get rid of how dark I was',,,2020-07-05,bbcnews
Deportation staff become food bank volunteers,,,2020-07-05,bbcnews
Why Singapore turned to wearable virus-trace tech,,,2020-07-05,bbcnews
The Indian who became Britain's first Asian MP,,,2020-07-05,bbcnews
'No dignity in death' for Sri Lanka's Muslims,,,2020-07-05,bbcnews
The motorcycle bandits terrorising northern Nigeria,,,2020-07-05,bbcnews
'Email from dad after his death made my birthday,,,2020-07-05,bbcnews
The puzzle of Japan's low virus death rate,,,2020-07-05,bbcnews
The mother and the murderer,,,2020-07-05,bbcnews
'The love letter that helped me flee my country',,,2020-07-05,bbcnews
'I've been stared at in disbelief when I introduce myself',,,2020-07-05,bbcnews
Raised in the UK - barred from university,,,2020-07-05,bbcnews
The curious case of the ex-marine jailed for spying,,,2020-07-05,bbcnews
Why weak ties make you happy,,,2020-07-05,bbcnews
Why Basque food tastes so good,,,2020-07-05,bbcnews
The best films of 2020 so far,,,2020-07-05,bbcnews
How much of your body is actually you?,,,2020-07-05,bbcnews
The materials that protect your brain,,,2020-07-05,bbcnews
How the Plague made the rich richer,,,2020-07-05,bbcnews
Champions Liverpool add to Villa's relegation worries,,,2020-07-05,bbcnews
Ramos scores again as Real move closer to La Liga title,,,2020-07-05,bbcnews
10-man Bologna hit back to stun Inter,,,2020-07-05,bbcnews
Holder v Stokes and West Indies' breakout star,,,2020-07-05,bbcnews
'The fight and round people can't stop sharing',,,2020-07-05,bbcnews
Why Messi is fed up at Barcelona - Balague column,,,2020-07-05,bbcnews
FDA commissioner wont confirm Trumps promises on vaccine timing,,,2020-07-05,abcnews
"Hahn appeared on ""This Week"" and discussed the status of a COVID-19 vaccine.",,,2020-07-05,abcnews
US holiday fuels worries about skyrocketing virus cases,,,2020-07-05,abcnews
"COVID-19 latest: Florida tops 200,000 cases",,,2020-07-05,abcnews
Protesters vandalize Georgia Department of Public Safety headquarters in Atlanta,,,2020-07-05,abcnews
Adorable 3-year-old sings patriotic anthems,,,2020-07-05,abcnews
Coronavirus updates: Trump claims vaccine coming 'long before the end of the year',,,2020-07-05,abcnews
"Trump returns to defense of statues, attacks media in July 4th remarks",,,2020-07-05,abcnews
Trump signs extension of COVID-relief fund for businesses,,,2020-07-05,abcnews
Protester dies after struck by car at Black Lives Matter freeway demonstration,,,2020-07-05,abcnews
"Vehicle strikes multiple protesters in Washington, 2 people sent to hospital",,,2020-07-05,abcnews
Trump holds back-to-back rallies,,,2020-07-05,abcnews
"Biden, Trump spar over leadership capability as COVID-19 cases rise",,,2020-07-05,abcnews
Backlash to Trump's 4th of July celebrations,,,2020-07-05,abcnews
"Kimberly Guilfoyle, Donald Trump Jr.'s girlfriend, tests positive for coronavirus",,,2020-07-05,abcnews
"Why do Trump, allies repost racist messaging and will it help his reelection effort?",,,2020-07-05,abcnews
"Trump ambassador nominee must withdraw over role in 'racist' flyer, Democrat demands",,,2020-07-05,abcnews
Congress is on recess for 2 weeks. Heres where they leave off on COVID-19 relief.,,,2020-07-05,abcnews
"ACLU sues AG Barr, feds to delay execution amid coronavirus pandemic",,,2020-07-05,abcnews
Trump claims new jobs numbers show economy is 'roaring back' from coronavirus,,,2020-07-05,abcnews
Service has shaped Sen. Tammy Duckworth. Is her next post in the White House?,,,2020-07-05,abcnews
Biden raises more money than Trump for 2nd straight month,,,2020-07-05,abcnews
"Trump claims 'all for masks,' even for himself, despite never wearing one in public",,,2020-07-05,abcnews
5-term GOP congressman loses primary to owner of restaurant with gun-toting servers,,,2020-07-05,abcnews
"Democrats, Biden look to accelerate Southern political shift",,,2020-07-05,abcnews
"Amid furor over monuments, Trump seeks 'garden' of US heroes",,,2020-07-05,abcnews
Here's what it means for Russia if Putin rules until 2036,,,2020-07-05,abcnews
Election monitors allege Putin referendum saw unprecedented ballot fraud,,,2020-07-05,abcnews
Reopened for business: Here's how states responded to coronavirus in May,,,2020-07-05,abcnews
Economy vs. death: How April shaped Americas coronavirus response,,,2020-07-05,abcnews
How did we get here? Americans' response to coronavirus in March,,,2020-07-05,abcnews
Should you wear gloves while you grocery shop?,,,2020-07-05,abcnews
Coronavirus testing in the US,,,2020-07-05,abcnews
Timeline: Trumps response to the coronavirus pandemic,,,2020-07-05,abcnews
How can antibodies be used to treat COVID-19: Blood plasma explained,,,2020-07-05,abcnews
PPE shortage: How did it happen?,,,2020-07-05,abcnews
Coronavirus and the human body,,,2020-07-05,abcnews
Cosby citing systemic racism as he fights assault conviction,,,2020-07-05,abcnews
Naked men and drunks: England assesses the reopening of pubs,,,2020-07-05,abcnews
White-throated sparrows' new tune 'going viral',,,2020-07-05,abcnews
Coronavirus testing a stress threat for athletic budgets,,,2020-07-05,abcnews
PHOTOS: Coronavirus outbreak sparks global health emergency,,,2020-07-05,abcnews
"Anxiety, depression increasing among mothers during the COVID-19 pandemic",,,2020-07-05,abcnews
Masks are a flashpoint. Here's what science says about them.,,,2020-07-05,abcnews
Man in famous 9/11 photo dies from COVID-19 in Florida,,,2020-07-05,abcnews
"Santiago Manuin, tireless defender of the Amazon rainforest, succumbs to COVID-19",,,2020-07-05,abcnews
'Lift Every Voice and Sing' hymn ignites hope across nation,,,2020-07-05,abcnews
"Statues come down, storms roll in, protests continue: This Week in Pictures",,,2020-07-05,abcnews
Want to be able to edit your Tweets? Convince 'everyone' to wear a mask,,,2020-07-05,abcnews
"11-year-old sews 500 blankets and over 1,000 masks for kids in need",,,2020-07-05,abcnews
Scenes of the Summer,,,2020-07-05,abcnews
Randy Travis' wife reflects on how his life suddenly changed after his 2013 stroke,,,2020-07-05,abcnews
'Dirty Dancing' star Jennifer Grey and Clark Gregg announce divorce after 19 years,,,2020-07-05,abcnews
There's a new perfume launching that smells like outer space,,,2020-07-05,abcnews
Classic camp games to play at home with your family,,,2020-07-05,abcnews
Mom alleges in lawsuit she was fired for kids' noise while working from home,,,2020-07-05,abcnews
"Happy belated birthday to 'Gone With the Wind' star Olivia de Havilland, who is 104",,,2020-07-05,abcnews
Black woman begins history-making job as dean of prestigious school,,,2020-07-05,abcnews
"Zendaya, Awkwafina and more stars invited to become Academy members",,,2020-07-05,abcnews
July 4th fireworks can be stressful for dogs: 6 tips can keep them calm and safe,,,2020-07-05,abcnews
Ringo Starr shares details about his upcoming 80th birthday celebration,,,2020-07-05,abcnews
Sarah Hyland talks putting wedding plans 'on hold' due to COVID-19 pandemic,,,2020-07-05,abcnews
Serena Williams and mini-me daughter wear matching tennis outfits on the court,,,2020-07-05,abcnews
Jennifer Garner gives sincere breakup advice to brokenhearted fan,,,2020-07-05,abcnews
Brie Larson joins You,,,2020-07-05,abcnews
Tube: See the 'Captain Marvel' star's 1st video,,,2020-07-05,abcnews
How to stream 'Hamilton' on Disney+,,,2020-07-05,abcnews
Anthony Ramos reflects on life-changing role in 'Hamilton',,,2020-07-05,abcnews
Lin-Manuel Miranda explains how 'Hamilton' on Disney+ differs from stage version,,,2020-07-05,abcnews
Alicia Keys wants to change how we approach offensive language in music,,,2020-07-05,abcnews
"Messages of hope, humor and guidance during coronavirus lockdown: Photos",,,2020-07-05,abcnews
Photos: Puppet and marionette museum,,,2020-07-05,abcnews
"Hugh Downs, Carl Reiner, Joel Schumacher and other notable people who died in 2020",,,2020-07-05,abcnews
"PHOTOS: Death of George Floyd sparks widespread outcry, protests",,,2020-07-05,abcnews
Photos: George Floyd murals around the world,,,2020-07-05,abcnews
Kanye West announces he's running for president,,,2020-07-05,abcnews
"2 dead, 8 injured in nightclub shooting",,,2020-07-05,abcnews
2 Oklahoma police officers charged with murder,,,2020-07-05,abcnews
Woman dies falling into Grand Canyon,,,2020-07-05,abcnews
Timeline: Missing Fort Hood soldier,,,2020-07-05,abcnews
Over 350 elephants mysteriously died ,,,2020-07-05,abcnews
8-year-old killed in Alabama mall shooting,,,2020-07-05,abcnews
What happened to Elijah Mc,,,2020-07-05,abcnews
Mount Rushmore offensive to some Native Americans,,,2020-07-05,abcnews
Athletes protest over student's Floyd tweet,,,2020-07-05,abcnews
Officer charged in Floyd's death posts $750,,,2020-07-05,abcnews
7-year-old among 5 killed on July 4 in Chicago,,,2020-07-05,abcnews
Facebook groups pivot to attacks on BLM,,,2020-07-05,abcnews
6 dead in Turkey fireworks factory explosion,,,2020-07-05,abcnews
Protesters topple Columbus statue in Baltimore,,,2020-07-05,abcnews
Rocket fired toward US Embassy in Iraq hurts child,,,2020-07-05,abcnews
"Ex-MLB pitcher, 3 others die in plane crash",,,2020-07-05,abcnews
Thousands rally for BLM protests in Australia,,,2020-07-05,abcnews
"Phoenix drops 'Robert E. Lee,' 'Squaw Peak' names",,,2020-07-05,abcnews
California firm's rocket New Zealand launch fails,,,2020-07-05,abcnews
Mexico joins international pact on maids' rights,,,2020-07-05,abcnews
Chlorine gas leak at plant sickens 70 in Iran,,,2020-07-05,abcnews
"Across Sun Belt, hopes give way to renewed fears",,,2020-07-05,abcnews
North Korea says it has no plans for talks with US,,,2020-07-05,abcnews
US envoy pushes troubled Taliban peace deal,,,2020-07-05,abcnews
Lucky Brand files for bankruptcy,,,2020-07-05,abcnews
Stimulus money could pose nursing home dilemmas,,,2020-07-05,abcnews
New French PM to focus on saving factory jobs,,,2020-07-05,abcnews
Australian finance minister to resign this year,,,2020-07-05,abcnews
"Parents, 2 children among 5 killed in car crashes",,,2020-07-05,abcnews
Italian police smash nationwide child pornography ring,,,2020-07-05,abcnews
1st NASCAR driver tests positive for coronavirus,,,2020-07-05,abcnews
Officer rescues fawn trapped in well,,,2020-07-05,abcnews
WWII veteran celebrates 100th birthday in New Orleans,,,2020-07-05,abcnews
Fireworks stand explodes after fire,,,2020-07-05,abcnews
Playful gorilla makes faces at keeper during training session,,,2020-07-05,abcnews
"Coronavirus Live Updates: A Muted, Even Surreal U.S. Holiday Weekend","Assessing the pandemics real death rate could offer clues on what to expect next. And thousands of residents of public housing towers in Melbourne, Australia, are subjected to a five-day lockdown.",,2020-07-05,nytimes
"As Coronavirus Slams Houston Hospitals, Its Like New York All Over Again","The death toll is lower, but there are echoes of March as cases spike, doctors fall ill and supplies run short. Now, Texas is trying to adapt hard-won lessons while addressing a new set of challenges.",,2020-07-05,nytimes
239 Experts With 1 Big Claim: The Coronavirus Is Airborne,"The W.H.O. has resisted mounting evidence that viral particles floating indoors are infectious, some scientists say. The agency maintains the research is still inconclusive.",,2020-07-05,nytimes
"With Department Stores Disappearing, Malls Could Be Next",Brick-and-mortar retail was in the midst of seismic changes even before the pandemic. Analysts say as much as a quarter of Americas malls may close in the next five years.,,2020-07-05,nytimes
"How You Get Your Berries: Migrant Workers Who Fear Virus, but Toil On",Many laborers in New Jersey follow the ripening of crops up the East Coast. Each influx of new workers brings the risk of a fresh outbreak.,,2020-07-05,nytimes
"At Mt. Rushmore and the White House, Trump Updates American Carnage Message for 2020","His ominous remarks were a reflection of his political standing: trailing in the polls, lacking a booming economy or a positive message to campaign on, and leaning on culture wars to buoy his loyalists.",,2020-07-05,nytimes
A Trump-Backed Senate Candidates Hedge Fund Disaster,"Tommy Tuberville, the football coach and leading Republican vying to take on Senator Doug Jones in Alabama, had a tumultuous foray into finance.",,2020-07-05,nytimes
Progressives Begin New Push to Elevate Supreme Court as a Campaign Issue,The first step in the project is $2 million in ads in competitive states highlighting the consequences for the court if President Trump secures a second term.,,2020-07-05,nytimes
An Ancient Valley Lost to Progress,"In his push for economic development, Turkeys president has flooded the archaeological gem of Hasankeyf and displaced thousands of families.",,2020-07-05,nytimes
11 of Our Best Weekend Reads,"The tragic history of I cant breathe. Why you can have a kid or a job right now, not both. How Brooklyn Drill went global. Farewell, Carl Reiner. And more.",,2020-07-05,nytimes
"News Quiz: Russia, Carl Reiner, Supreme Court",Did you follow the headlines this week?,,2020-07-05,nytimes
"Bogus Ideas Have Superspreaders, Too",Internet companies should treat people with big followings differently.,,2020-07-05,nytimes
"Jules Feiffer on His Long, Varied Career","Feiffer talks about his new picture book and more, and Steve Inskeep discusses Imperfect Union.",,2020-07-05,nytimes
To Be Hungry in the Middle of the Pandemic,"In the neighborhoods most devastated by the coronavirus, food insecurity has emerged as a major concern.",,2020-07-05,nytimes
"Employer-Based Health Care, Meet Massive Unemployment",The coronavirus pandemic is exposing a central flaw in Americas health care system.,,2020-07-05,nytimes
Mexicos President Is All In for Trump,Mexican democrats will not forget Andrs Manuel Lpez Obradors reverence to the man who has maligned us.,,2020-07-05,nytimes
The U.S. Is Lagging Behind Many Rich Countries. These Charts Show Why.,American exceptionalism has a dark side.,,2020-07-05,nytimes
How Much Money Americans Actually Make,More than a thousand readers responded to our call to share their salaries.,,2020-07-05,nytimes
The Jobs We Need,Workers have been left behind as the U.S. economy expanded and chief executive salaries skyrocketed over the last four decades.,,2020-07-05,nytimes
The Black-White Wage Gap Is as Big as It Was in 1950,Recent research indicates little progress since the Truman administration.,,2020-07-05,nytimes
That would never happen at my parents job.,People with the same jobs as their parents on how professions have changed.,,2020-07-05,nytimes
Why Do the Rich Have So Much Power?,"Americans may be equal, but some are more equal than others.",,2020-07-05,nytimes
The Neoliberal Looting of America,"The private equity industry, which has led to more than 1.3 million job losses over the last decade, reveals the truth about free markets.",,2020-07-05,nytimes
When Bosses Shared Their Profits,"Since the 1980s, profit-sharing has declined. It deserves to make a comeback.",,2020-07-05,nytimes
A Racist Attack on Children Was Taped in 1975. We Found Them.,"A snippet of the documentary Rosedale: The Way It Is has ricocheted across the internet, upending for another generation New York Citys narrative as a bastion of tolerance.",,2020-07-05,nytimes
In the Autonomous Zones,"Autonomous zones, protest camps and intentional communities alike thrive on hard work and consensus  and can become disastrous rapidly.",,2020-07-05,nytimes
Small Businesses Repurpose Lessons From the 2008 Recession,"While every recession is different, as in 2008, small businesses today must focus on adaptability and prepare for timid consumers.",,2020-07-05,nytimes
2 Dead and 8 Wounded in Shooting at South Carolina Nightclub,"The club, in Greenville, was hosting a concert on Saturday night despite state orders that nightclubs remain closed because of the coronavirus pandemic, officials said.",,2020-07-05,nytimes
Trumps Niece Presses Case Against Effort to Bar Publication of Her Book,"Mary Trump and her lawyer filed documents questioning the validity of the nondisclosure agreement she signed, saying it was based on fraud and was too broad to be enforced.",,2020-07-05,nytimes
Prince Andrew Sought Washington Lobbyist to Help With Epstein Case,Lawyers for the prince consulted a lobbyist with connections in Trump foreign policy circles. No deal was struck.,,2020-07-05,nytimes
"DNA Linked to Covid-19 Was Inherited From Neanderthals, Study Finds",The stretch of six genes seems to increase the risk of severe illness from the coronavirus.,,2020-07-05,nytimes
Kansas Governor Criticizes G.O.P. Officials Cartoon Comparing Mask Order to Holocaust,"The cartoon, which shows Gov. Laura Kelly wearing a Star of David mask as people are loaded into a cattle car, was posted Friday on the Facebook page of a newspaper owned by a Republican county chairman.",,2020-07-05,nytimes
In Harms Way: In Latin America,"As the coronavirus rages in the region, health care workers say income disparities, poor public health systems and misinformation have made the pandemic more dangerous.",,2020-07-05,nytimes
"Hong Kong, Changed Overnight, Navigates Its New Reality","In a city where China has made some ideas suddenly dangerous, people are trying to figure out where the boundaries lie, and how their lives have changed.",,2020-07-05,nytimes
"To Buy a Drink in This Border Town, Make Sure Youre in England","Pubs are open in England, but coronavirus restrictions have not yet eased that far in Wales. So the owner of one village bar went to a rival establishment for a pint.",,2020-07-05,nytimes
We Now Interrupt Your Regularly Scheduled Convention Programming,"Instead of the usual media circus, this summers made-for-TV political confabs will have a whole lot less TV.",,2020-07-05,nytimes
How to Make Your Tech Last Longer,"In a pandemic-induced recession, its more important than ever to take care of our smartphones and other gadgets.",,2020-07-05,nytimes
What to Say When People Tell You Their Coronavirus Fears,Empathy over dismissive positivity. ,,2020-07-05,nytimes
A Users Guide to Face Masks,By now youve figured out that wearing a mask is not as simple as all those TV doctors made it look. Heres our guide to the wear and care of your new mask.,,2020-07-05,nytimes
How We Get Stronger,Weight training prompts changes in the nervous system that prime the muscles to get bigger and stronger.,,2020-07-05,nytimes
How to Help Your Perfectionist Kid,"Perfectionism is common, heritable, and painful for many children.",,2020-07-05,nytimes
Some Unexpected Survey Results,"I was enchanted by her writing, said Clifford Peterson, who met Carol Ryan during planning for Ramapo Colleges 50th anniversary celebration, by the incredible life she lived, simply enchanted.",,2020-07-05,nytimes
How a Covid-19 Contact Tracer Spends Her Sundays,"Kimberly Jocelyn is at her computer on the weekends, but she forces herself to take breaks for fresh air and video calls with friends.",,2020-07-05,nytimes
The Car You Buy Because You Love Driving,"Put through its paces on a motor clubs racetrack, the 2021 Porsche 911 Turbo S growls with a gaudy 640 horsepower and handling that lets even amateur drivers feel like superheroes.",,2020-07-05,nytimes
"He Drove 3,000 Miles to Find a Pool and Ended Up in the Ocean","Rudy Garcia-Tolson is determined to make a fifth Paralympic team, even if he has to start at the bottom. Or on a surfboard.",,2020-07-05,nytimes
Enjoying Your Backyard All Summer Long,Summer heat and bugs can make your outdoor space unbearable. Here are some ways to help you stay outside comfortably.,,2020-07-05,nytimes
"Its Not a Snake, but Beware of Its Venomous Bite",Animals called caecilians may have been among the first vertebrates on land to lace their bites with venom.,,2020-07-05,nytimes
"U.S. Coronavirus Cases Are Rising Sharply, but Deaths Are Still Down","This seemingly counterintuitive trend might not last, experts said. But the nation can still learn from the decline.",,2020-07-05,nytimes
"Did a Mutation Help the Coronavirus Spread? More Evidence, but Lingering Questions",Researchers claim that a predominating variant had a fitness advantage. But many experts are not persuaded.,,2020-07-05,nytimes
She Was Healthy and Active. Suddenly She Had a Seizure.,Her bouts of sweating and confusion were traced to dangerously low blood sugar. But what was causing it?,,2020-07-05,nytimes
Trump Uses Mount Rushmore Speech to Deliver Divisive Culture War Message,"Down in the polls and failing to control a raging pandemic, the president cast himself as waging battle against a new far-left fascism that imperils American values and seeks to erase history.",,2020-07-05,nytimes
The Most Delicious Chicken,These bright recipes embrace summer and its promise.,,2020-07-05,nytimes
How Safe Are Outdoor Gatherings?,"With the virus raging in many parts of the country, new restrictions have left many wondering about the safety of a backyard barbecue or picnic.",,2020-07-05,nytimes
The country's medical council set a 15 August date for a Covid-19 vaccine for public use.,,,2020-07-06,bbcnews
"Vaccine aims 'unrealistic', say Indian scientists",,,2020-07-06,bbcnews
India passes Russia as Covid cases continue to rise,"India has been adding more than 20,000 fresh infections every day for the last four days.",,2020-07-06,bbcnews
What Donald Trump gets wrong about Somalia,"Somalia has been caught up in the US election campaign thanks to Donald Trump, writes Ismail Einashe.",,2020-07-06,bbcnews
Rare brain-eating amoeba case found in Florida,"Since 1962, Florida has reported only 37 cases of the deadly pathogen, which attacks brain tissue.",,2020-07-06,bbcnews
Italian film composer Ennio Morricone dies aged 91,"The prolific composer's credits included the ""spaghetti"" Westerns that made Clint Eastwood a star.",,2020-07-06,bbcnews
Ryan Adams apologises for 'mistreating' women,"""I will never be off the hook,"" says the musician, a year after allegations of abuse surfaced.",,2020-07-06,bbcnews
Video 32 seconds'Drug plane' lands on road and bursts into flames,The small jet is engulfed by fire and thick black smoke after the landing in southern Mexico.,,2020-07-06,bbcnews
Trump vows to defeat 'radical left' in 4 July speech,"The president says his Covid-19 strategy is ""moving along well"", despite a nationwide surge in cases.",,2020-07-06,bbcnews
Fujitsu announces permanent work-from-home plan,"The programme will offer ""unprecedented flexibility"" to 80,000 workers in Japan, says Fujitsu.",,2020-07-06,bbcnews
UK sanctions regime to target human rights abusers,Those set to be punished could include Russian officials implicated in the death of Sergei Magnitsky.,,2020-07-06,bbcnews
Japan braces for more rain as death toll rises,At least 37 people died after record rains hit parts of south-western Japan on Saturday.,,2020-07-06,bbcnews
FDA chief refuses to back Trump vaccine prediction,"Unlike President Trump, Dr Stephen Hahn says he ""can't predict"" when a Covid-19 vaccine will arrive.",,2020-07-06,bbcnews
Athlete accuses London police of racial profiling,British sprinter Bianca Williams and her partner accuse the Metropolitan Police of racial profiling and acting violently towards them.,,2020-07-06,bbcnews
Louvre reopens in Paris for first time since March,Masks are compulsory and visitor numbers are restricted at the world's most visited museum.,,2020-07-06,bbcnews
India passes Russia as Covid cases continue to rise,"India has been adding more than 20,000 fresh infections every day for the last four days.",,2020-07-06,bbcnews
What Donald Trump gets wrong about Somalia,"Somalia has been caught up in the US election campaign thanks to Donald Trump, writes Ismail Einashe.",,2020-07-06,bbcnews
Rare brain-eating amoeba case found in Florida,"Since 1962, Florida has reported only 37 cases of the deadly pathogen, which attacks brain tissue.",,2020-07-06,bbcnews
Italian film composer Ennio Morricone dies aged 91,"The prolific composer's credits included the ""spaghetti"" Westerns that made Clint Eastwood a star.",,2020-07-06,bbcnews
Ryan Adams apologises for 'mistreating' women,"""I will never be off the hook,"" says the musician, a year after allegations of abuse surfaced.",,2020-07-06,bbcnews
Video 32 seconds'Drug plane' lands on road and bursts into flames,The small jet is engulfed by fire and thick black smoke after the landing in southern Mexico.,,2020-07-06,bbcnews
Trump vows to defeat 'radical left' in 4 July speech,"The president says his Covid-19 strategy is ""moving along well"", despite a nationwide surge in cases.",,2020-07-06,bbcnews
Fujitsu announces permanent work-from-home plan,"The programme will offer ""unprecedented flexibility"" to 80,000 workers in Japan, says Fujitsu.",,2020-07-06,bbcnews
UK sanctions regime to target human rights abusers,Those set to be punished could include Russian officials implicated in the death of Sergei Magnitsky.,,2020-07-06,bbcnews
Japan braces for more rain as death toll rises,At least 37 people died after record rains hit parts of south-western Japan on Saturday.,,2020-07-06,bbcnews
FDA chief refuses to back Trump vaccine prediction,"Unlike President Trump, Dr Stephen Hahn says he ""can't predict"" when a Covid-19 vaccine will arrive.",,2020-07-06,bbcnews
Athlete accuses London police of racial profiling,British sprinter Bianca Williams and her partner accuse the Metropolitan Police of racial profiling and acting violently towards them.,,2020-07-06,bbcnews
Louvre reopens in Paris for first time since March,Masks are compulsory and visitor numbers are restricted at the world's most visited museum.,,2020-07-06,bbcnews
The town divided by Black Lives Matter,,,2020-07-06,bbcnews
Meet the socially distant robot scientist,,,2020-07-06,bbcnews
"Sir Elton John honoured on 1,000 gold coin",,,2020-07-06,bbcnews
Records set at socially distanced hot dog contest,,,2020-07-06,bbcnews
How Turkish TV went global,,,2020-07-06,bbcnews
Can viral videos stop police brutality?,,,2020-07-06,bbcnews
'I'm a bit brainier than he thought I was',,,2020-07-06,bbcnews
The gaming boss who gets addicted to the games,,,2020-07-06,bbcnews
How 'three musketeers' helped Georgia fight virus,,,2020-07-06,bbcnews
The North Korean refugees supplying PPE to care homes,,,2020-07-06,bbcnews
What it's like to campaign during a pandemic,,,2020-07-06,bbcnews
Why surviving the virus may be just the beginning,,,2020-07-06,bbcnews
'I left her as a baby - 16 years later she saved my life',,,2020-07-06,bbcnews
'My 30-year struggle with racism in the Met',,,2020-07-06,bbcnews
The storm over Huawei,,,2020-07-06,bbcnews
The mystery of 'silent spreaders',,,2020-07-06,bbcnews
Whats the future of the High Street?,,,2020-07-06,bbcnews
A tiny nation of British eccentricity,,,2020-07-06,bbcnews
The challenging reads we need right now,,,2020-07-06,bbcnews
How much of your body is actually you?,,,2020-07-06,bbcnews
The world's greatest space mission,,,2020-07-06,bbcnews
Why weak ties make you happy,,,2020-07-06,bbcnews
"Coronavirus updates: US reports over 49,000 new cases in a single day",,,2020-07-06,abcnews
"The daily caseload is under the country's record high of over 54,000 new cases.",,,2020-07-06,abcnews
Trump signs extension of COVID-relief fund for businesses,,,2020-07-06,abcnews
Broadway star Nick Cordero dies at 41 after long battle with COVID-19,,,2020-07-06,abcnews
Illegal fireworks blamed for brush fire,,,2020-07-06,abcnews
"Remains of missing Fort Hood soldier Vanessa Guillen identified, lawyer says",,,2020-07-06,abcnews
Air Force officer under fire for Facebook comment on missing soldier Vanessa Guillen,,,2020-07-06,abcnews
Protesters vandalize Georgia Department of Public Safety headquarters in Atlanta,,,2020-07-06,abcnews
Protester dies after struck by car at Black Lives Matter freeway demonstration,,,2020-07-06,abcnews
